source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
city scrape,40.45724,-3.67688,Private room in rental unit,Private room,2,1.0,1.0,90.0,4,1125,4.87
city scrape,40.40381,-3.7413,Private room in rental unit,Private room,1,1.0,1.0,31.0,4,40,4.58
city scrape,40.38975,-3.69018,Private room in home,Private room,1,1.0,1.0,29.0,3,1125,4.71
city scrape,40.41476,-3.70418,Entire rental unit,Entire home/apt,2,1.0,2.0,150.0,5,180,4.63
previous scrape,40.41259,-3.70105,Entire loft,Entire home/apt,2,1.0,1.0,54.0,3,730,4.38
city scrape,40.41969,-3.69736,Entire rental unit,Entire home/apt,4,1.0,2.0,98.0,2,500,4.61
city scrape,40.42247,-3.70577,Entire rental unit,Entire home/apt,3,1.0,3.0,150.0,5,180,4.65
city scrape,40.41884,-3.69655,Private room in rental unit,Private room,3,1.0,2.0,70.0,1,20,4.58
city scrape,40.42252,-3.7025,Entire rental unit,Entire home/apt,2,1.0,1.0,99.0,28,360,4.37
city scrape,40.42252,-3.7025,Entire rental unit,Entire home/apt,2,1.0,2.0,69.0,28,360,4.28
city scrape,40.40864,-3.70884,Entire rental unit,Entire home/apt,4,1.0,2.0,80.0,8,1125,4.6
previous scrape,40.42342,-3.68123,Entire rental unit,Entire home/apt,2,1.0,1.0,63.0,3,365,4.78
previous scrape,40.40866,-3.70374,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,7,1125,4.68
city scrape,40.40939,-3.69812,Entire rental unit,Entire home/apt,5,3.0,3.0,143.0,4,365,4.81
city scrape,40.41358,-3.71353,Entire loft,Entire home/apt,6,2.0,3.0,160.0,3,1125,4.82
city scrape,40.42792,-3.67682,Entire condo,Entire home/apt,3,2.0,2.0,168.0,10,999,4.82
city scrape,40.42378,-3.70248,Private room in rental unit,Private room,3,1.0,2.0,30.0,1,1125,4.5
previous scrape,40.50044,-3.67032,Entire rental unit,Entire home/apt,2,1.0,1.0,60.0,2,30,4.67
city scrape,40.41189,-3.70107,Entire rental unit,Entire home/apt,2,1.0,1.0,73.0,1,1125,4.42
city scrape,40.42943,-3.71594,Entire rental unit,Entire home/apt,3,2.0,2.0,70.0,11,365,4.57
city scrape,40.43815,-3.69764,Entire rental unit,Entire home/apt,4,2.0,3.0,100.0,2,30,4.57
previous scrape,40.40115,-3.69657,Entire rental unit,Entire home/apt,8,3.0,6.0,149.0,3,1125,4.18
city scrape,40.42297,-3.61193,Private room in rental unit,Private room,2,1.0,1.0,30.0,5,1000,4.76
city scrape,40.42555,-3.70379,Private room in rental unit,Private room,3,1.0,2.0,27.0,2,1120,4.64
city scrape,40.42756,-3.61577,Private room in rental unit,Private room,2,1.0,2.0,30.0,5,1000,4.57
city scrape,40.4382,-3.69389,Entire rental unit,Entire home/apt,4,1.0,2.0,85.0,2,90,4.56
city scrape,40.42398,-3.70451,Private room in rental unit,Private room,3,1.0,1.0,37.0,2,1124,4.13
city scrape,40.41143,-3.70912,Private room in rental unit,Private room,2,1.0,2.0,37.0,1,365,4.77
city scrape,40.47731,-3.66659,Private room in rental unit,Private room,1,1.0,1.0,24.0,1,1125,4.93
city scrape,40.41012,-3.69709,Private room in rental unit,Private room,1,1.0,1.0,33.0,3,730,4.78
city scrape,40.41152,-3.70991,Entire rental unit,Entire home/apt,5,2.0,2.0,174.0,4,60,4.67
city scrape,40.41027,-3.7122,Entire rental unit,Entire home/apt,6,3.0,5.0,225.0,1,1125,4.77
city scrape,40.42162,-3.71158,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,5,1125,4.68
city scrape,40.41327,-3.70223,Private room in rental unit,Private room,2,1.0,1.0,73.0,2,1125,4.92
previous scrape,40.4057,-3.67605,Private room in rental unit,Private room,1,1.0,1.0,19.0,2,1125,5.0
previous scrape,40.35761,-3.69723,Private room in rental unit,Private room,1,1.0,1.0,24.0,1,1125,4.94
city scrape,40.43602,-3.63506,Entire rental unit,Entire home/apt,3,2.0,2.0,54.0,4,31,4.79
city scrape,40.47281,-3.58827,Private room in home,Private room,2,4.0,1.0,28.0,60,61,5.0
city scrape,40.46088,-3.64679,Entire rental unit,Entire home/apt,3,2.0,3.0,250.0,3,1125,4.88
city scrape,40.43765,-3.70408,Entire loft,Entire home/apt,4,1.0,2.0,65.0,90,365,4.75
city scrape,40.41604,-3.70834,Entire rental unit,Entire home/apt,5,2.0,4.0,96.0,2,330,4.73
city scrape,40.42242,-3.69674,Entire rental unit,Entire home/apt,4,2.0,2.0,99.0,1,1125,4.58
city scrape,40.42286,-3.70236,Private room in rental unit,Private room,2,1.0,1.0,40.0,3,1125,4.9
previous scrape,40.39317,-3.69358,Entire home,Entire home/apt,10,5.0,9.0,70.0,3,1125,3.0
city scrape,40.45575,-3.64912,Private room in chalet,Private room,2,1.0,1.0,65.0,1,1125,4.9
city scrape,40.42386,-3.70489,Entire rental unit,Entire home/apt,4,2.0,4.0,91.0,90,200,4.48
city scrape,40.40954,-3.70096,Entire rental unit,Entire home/apt,3,1.0,1.0,62.0,2,90,4.47
city scrape,40.42301,-3.69889,Entire rental unit,Entire home/apt,2,1.0,1.0,250.0,2,30,5.0
city scrape,40.45841,-3.67598,Private room in rental unit,Private room,1,1.0,1.0,26.0,3,365,4.81
city scrape,40.419,-3.67774,Entire rental unit,Entire home/apt,4,2.0,3.0,110.0,6,30,4.94
city scrape,40.4077,-3.68473,Private room in rental unit,Private room,1,1.0,1.0,25.0,1,1125,4.81
city scrape,40.41309,-3.69775,Private room in rental unit,Private room,2,1.0,1.0,47.0,3,15,4.85
city scrape,40.42103,-3.70171,Entire rental unit,Entire home/apt,2,1.0,1.0,136.0,4,60,4.87
city scrape,40.4112,-3.69567,Entire rental unit,Entire home/apt,4,2.0,2.0,63.0,2,366,4.45
city scrape,40.42274,-3.66972,Entire rental unit,Entire home/apt,5,3.0,4.0,100.0,14,330,4.63
city scrape,40.42297,-3.69095,Entire rental unit,Entire home/apt,2,1.0,1.0,143.0,1,365,4.64
city scrape,40.41235,-3.70967,Entire rental unit,Entire home/apt,2,1.0,1.0,89.0,3,1125,4.71
city scrape,40.41319,-3.7024,Private room in rental unit,Private room,2,1.0,1.0,84.0,3,30,4.89
city scrape,40.42171,-3.69823,Entire rental unit,Entire home/apt,2,1.0,1.0,85.0,7,90,4.87
city scrape,40.41013,-3.70453,Private room in rental unit,Private room,2,1.0,1.0,65.0,3,1125,4.87
city scrape,40.40683,-3.69932,Entire rental unit,Entire home/apt,3,2.0,2.0,58.0,4,1125,4.33
city scrape,40.42556,-3.70175,Entire rental unit,Entire home/apt,4,1.0,2.0,68.0,2,360,4.53
city scrape,40.40913,-3.699,Entire rental unit,Entire home/apt,2,1.0,2.0,120.0,45,1125,4.85
city scrape,40.4152,-3.69668,Entire rental unit,Entire home/apt,5,2.0,2.0,180.0,4,365,4.85
city scrape,40.46913,-3.58258,Entire rental unit,Entire home/apt,8,4.0,7.0,116.0,2,1125,4.9
city scrape,40.41016,-3.72863,Private room in rental unit,Private room,2,1.0,1.0,20.0,2,1125,4.88
city scrape,40.39826,-3.66722,Private room in rental unit,Private room,2,1.0,2.0,31.0,2,6,4.75
city scrape,40.41126,-3.70347,Private room in rental unit,Private room,1,1.0,1.0,32.0,1,60,4.81
city scrape,40.41901,-3.70631,Entire loft,Entire home/apt,2,1.0,1.0,81.0,1,1125,4.51
city scrape,40.40646,-3.68289,Private room in rental unit,Private room,2,1.0,2.0,31.0,1,1125,4.68
city scrape,40.4739,-3.57583,Entire home,Entire home/apt,8,2.0,6.0,93.0,1,1125,4.72
city scrape,40.40625,-3.68479,Private room in rental unit,Private room,1,1.0,1.0,25.0,1,1125,4.66
previous scrape,40.44919,-3.71006,Entire rental unit,Entire home/apt,2,1.0,1.0,100.0,2,80,5.0
city scrape,40.41726,-3.70269,Entire rental unit,Entire home/apt,2,1.0,2.0,74.0,90,300,4.61
city scrape,40.42551,-3.70812,Entire rental unit,Entire home/apt,4,2.0,3.0,106.0,2,90,4.72
previous scrape,40.41151,-3.70257,Entire home,Entire home/apt,6,2.0,3.0,190.0,2,30,4.5
city scrape,40.4158,-3.70962,Entire loft,Entire home/apt,2,1.0,1.0,200.0,3,1125,4.94
city scrape,40.41498,-3.70891,Entire rental unit,Entire home/apt,2,1.0,1.0,116.0,3,1125,4.61
city scrape,40.36725,-3.68875,Private room in condo,Private room,1,1.0,1.0,46.0,4,90,4.84
city scrape,40.41906,-3.70627,Entire rental unit,Entire home/apt,4,2.0,2.0,124.0,1,1125,4.68
city scrape,40.45959,-3.64699,Private room in rental unit,Private room,2,1.0,1.0,65.0,2,365,4.94
city scrape,40.41858,-3.70077,Private room in rental unit,Private room,2,1.0,1.0,50.0,10,65,4.7
city scrape,40.42377,-3.70241,Private room in rental unit,Private room,3,3.0,2.0,28.0,1,365,4.49
previous scrape,40.43595,-3.70706,Private room in rental unit,Private room,1,1.0,1.0,25.0,25,365,4.72
city scrape,40.4078,-3.70085,Entire rental unit,Entire home/apt,3,1.0,2.0,69.0,10,1125,4.29
city scrape,40.39523,-3.7132,Private room in rental unit,Private room,1,1.0,1.0,24.0,2,1125,4.74
city scrape,40.40721,-3.64994,Entire rental unit,Entire home/apt,8,4.0,5.0,155.0,3,365,4.87
city scrape,40.40661,-3.6952,Entire rental unit,Entire home/apt,3,1.0,1.0,85.0,3,65,4.84
city scrape,40.39231,-3.72359,Private room in rental unit,Private room,3,1.0,1.0,40.0,30,365,5.0
city scrape,40.41888,-3.70645,Entire rental unit,Entire home/apt,8,3.0,3.0,227.0,1,1125,4.7
city scrape,40.41428,-3.70767,Entire rental unit,Entire home/apt,10,3.0,8.0,164.0,3,300,4.59
city scrape,40.42294,-3.70468,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,4,365,4.82
city scrape,40.41596,-3.70846,Entire condo,Entire home/apt,1,1.0,1.0,106.0,30,365,4.57
city scrape,40.42741,-3.70807,Entire rental unit,Entire home/apt,2,1.0,1.0,150.0,7,1000,4.86
city scrape,40.4312,-3.68502,Entire rental unit,Entire home/apt,4,1.0,2.0,110.0,30,365,4.5
city scrape,40.39627,-3.69926,Entire condo,Entire home/apt,2,1.0,1.0,89.0,4,30,4.83
city scrape,40.40964,-3.71139,Entire rental unit,Entire home/apt,4,1.0,2.0,64.0,1,1125,4.74
city scrape,40.457,-3.70436,Private room in rental unit,Private room,2,1.0,2.0,24.0,1,1000,4.4
city scrape,40.40196,-3.6974,Private room in rental unit,Private room,1,1.0,1.0,40.0,2,6,4.96
city scrape,40.40743,-3.74293,Private room in home,Private room,1,1.0,1.0,28.0,4,15,4.86
previous scrape,40.39366,-3.66535,Private room in rental unit,Private room,2,1.0,3.0,45.0,2,7,0.0
city scrape,40.40743,-3.70114,Entire rental unit,Entire home/apt,4,1.0,1.0,91.0,14,365,4.41
city scrape,40.40956,-3.7009,Entire rental unit,Entire home/apt,3,1.0,2.0,58.0,2,180,4.68
city scrape,40.47189,-3.62966,Entire loft,Entire home/apt,4,4.0,4.0,140.0,2,390,4.69
previous scrape,40.41769,-3.69974,Entire rental unit,Entire home/apt,4,1.0,2.0,70.0,3,9,5.0
city scrape,40.42106,-3.71121,Private room in rental unit,Private room,3,1.0,1.0,66.0,1,1125,4.67
previous scrape,40.43922,-3.67574,Private room in rental unit,Private room,1,1.0,1.0,23.0,1,4,4.84
previous scrape,40.40349,-3.70418,Entire home,Entire home/apt,2,1.0,1.0,60.0,2,4,4.64
city scrape,40.42269,-3.70378,Entire loft,Entire home/apt,2,1.0,1.0,108.0,1,1125,4.91
city scrape,40.40873,-3.69961,Entire home,Entire home/apt,4,2.0,1.0,101.0,2,1125,5.0
city scrape,40.47142,-3.62881,Entire loft,Entire home/apt,3,2.0,3.0,96.0,2,90,4.75
city scrape,40.424084,-3.708346,Entire loft,Entire home/apt,3,1.0,2.0,83.0,3,30,4.71
city scrape,40.412682,-3.702548,Entire rental unit,Entire home/apt,4,1.0,3.0,79.0,3,365,4.72
city scrape,40.4449,-3.63508,Private room in rental unit,Private room,2,1.0,2.0,50.0,2,60,4.98
previous scrape,40.47143,-3.6748,Entire condo,Entire home/apt,4,2.0,4.0,75.0,3,1125,5.0
city scrape,40.41596,-3.70431,Entire rental unit,Entire home/apt,4,2.0,2.0,168.0,2,7,4.73
previous scrape,40.41256,-3.70373,Private room in rental unit,Private room,4,1.0,4.0,10.0,3,26,4.56
city scrape,40.4093,-3.70884,Entire rental unit,Entire home/apt,3,1.0,1.0,119.0,5,45,4.71
city scrape,40.42457,-3.70802,Entire serviced apartment,Entire home/apt,4,1.0,2.0,167.0,1,365,4.81
city scrape,40.42432,-3.6399,Private room in rental unit,Private room,1,1.0,1.0,35.0,7,1125,5.0
city scrape,40.42432,-3.6399,Private room in rental unit,Private room,2,1.0,2.0,35.0,3,1125,4.5
city scrape,40.41271,-3.7005,Entire rental unit,Entire home/apt,2,1.0,2.0,58.0,28,330,4.38
city scrape,40.41048049926758,-3.7063961029052734,Entire rental unit,Entire home/apt,2,1.0,1.0,119.0,2,9,4.64
previous scrape,40.37093,-3.62298,Private room in home,Private room,2,1.0,2.0,23.0,1,6,4.5
city scrape,40.41685,-3.70882,Entire rental unit,Entire home/apt,4,1.0,2.0,130.0,2,1000,4.51
previous scrape,40.42683,-3.71108,Private room in rental unit,Private room,1,1.0,2.0,30.0,1,365,5.0
city scrape,40.43741,-3.71162,Entire rental unit,Entire home/apt,5,3.0,6.0,110.0,4,100,4.82
city scrape,40.43287,-3.7007,Private room in rental unit,Private room,1,1.0,1.0,46.0,4,30,4.85
city scrape,40.42656,-3.7036,Entire rental unit,Entire home/apt,2,1.0,1.0,204.0,3,1125,4.87
city scrape,40.40222,-3.68096,Entire rental unit,Entire home/apt,4,2.0,3.0,100.0,3,90,4.8
city scrape,40.42552,-3.70603,Entire rental unit,Entire home/apt,2,1.0,1.0,76.0,3,1125,4.73
previous scrape,40.43189,-3.67793,Entire rental unit,Entire home/apt,6,4.0,4.0,230.0,365,365,4.83
previous scrape,40.37609,-3.74279,Entire rental unit,Entire home/apt,2,2.0,1.0,20.0,1,1125,0.0
city scrape,40.42226,-3.69959,Private room in rental unit,Private room,2,1.0,3.0,54.0,3,90,4.5
city scrape,40.42226,-3.69959,Private room in rental unit,Private room,2,1.0,1.0,41.0,3,90,4.45
previous scrape,40.41414,-3.69419,Entire rental unit,Entire home/apt,4,1.0,2.0,217.0,1,365,4.25
previous scrape,40.42849,-3.70194,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,2,21,4.67
city scrape,40.40908,-3.69514,Entire rental unit,Entire home/apt,6,2.0,4.0,85.0,4,1125,4.64
previous scrape,40.40726,-3.74174,Private room in home,Private room,1,1.0,1.0,14.0,3,20,4.67
city scrape,40.42187,-3.68775,Entire serviced apartment,Entire home/apt,2,1.0,2.0,90.0,30,330,4.88
city scrape,40.41747,-3.70979,Entire rental unit,Entire home/apt,2,1.0,2.0,164.0,3,10,4.71
city scrape,40.47058,-3.68539,Entire condo,Entire home/apt,2,1.0,4.0,70.0,2,30,4.68
city scrape,40.41584,-3.70683,Entire rental unit,Entire home/apt,8,2.0,6.0,213.0,3,300,4.75
city scrape,40.40766,-3.69952,Entire rental unit,Entire home/apt,4,2.0,2.0,72.0,6,200,4.39
city scrape,40.39516,-3.69309,Entire rental unit,Entire home/apt,6,4.0,4.0,125.0,2,35,4.81
city scrape,40.41845,-3.70544,Entire rental unit,Entire home/apt,4,2.0,3.0,137.0,2,200,4.62
city scrape,40.41866,-3.70547,Entire rental unit,Entire home/apt,4,1.0,1.0,88.0,2,300,4.64
previous scrape,40.47444,-3.67135,Private room in rental unit,Private room,1,1.0,1.0,40.0,1,1125,4.64
city scrape,40.36089,-3.69594,Entire rental unit,Entire home/apt,6,3.0,4.0,100.0,3,45,4.67
city scrape,40.42062,-3.70766,Entire rental unit,Entire home/apt,6,2.0,3.0,152.0,2,65,4.6
city scrape,40.42242,-3.69562,Entire rental unit,Entire home/apt,5,2.0,3.0,90.0,5,1125,4.62
city scrape,40.41513,-3.69935,Entire rental unit,Entire home/apt,2,1.0,2.0,101.0,4,365,4.97
previous scrape,40.41593,-3.70602,Private room in rental unit,Private room,2,1.0,1.0,103.0,2,1125,4.93
city scrape,40.42838,-3.70345,Entire rental unit,Entire home/apt,4,1.0,2.0,80.0,25,1125,4.88
city scrape,40.35701,-3.69643,Entire rental unit,Entire home/apt,5,3.0,3.0,72.0,3,60,4.71
city scrape,40.4256,-3.70436,Entire rental unit,Entire home/apt,6,3.0,4.0,139.0,7,1125,4.63
previous scrape,40.42157,-3.70539,Private room in rental unit,Private room,2,1.0,1.0,35.0,1,30,4.85
city scrape,40.38901,-3.64185,Private room in rental unit,Private room,2,1.0,2.0,25.0,1,1125,4.9
city scrape,40.43003,-3.67429,Shared room in rental unit,Shared room,2,1.0,4.0,70.0,2,2,4.24
city scrape,40.41389,-3.70461,Entire loft,Entire home/apt,4,1.0,1.0,124.0,1,60,4.71
city scrape,40.41285,-3.69553,Entire rental unit,Entire home/apt,4,1.0,2.0,95.0,3,1125,4.88
city scrape,40.42194,-3.70194,Entire rental unit,Entire home/apt,4,2.0,2.0,250.0,5,90,4.94
city scrape,40.41697,-3.70732,Entire rental unit,Entire home/apt,4,1.0,1.0,83.0,2,1125,4.82
previous scrape,40.45319,-3.592383,Private room in rental unit,Private room,2,1.0,2.0,33.0,1,60,4.87
city scrape,40.41538,-3.70351,Private room in rental unit,Private room,2,1.0,1.0,48.0,1,1125,4.68
city scrape,40.42616,-3.70263,Entire rental unit,Entire home/apt,5,1.0,4.0,121.0,20,90,4.64
city scrape,40.41222,-3.71365,Entire rental unit,Entire home/apt,2,1.0,1.0,95.0,3,91,4.89
city scrape,40.41037,-3.70018,Entire rental unit,Entire home/apt,2,1.0,1.0,51.0,25,250,4.68
city scrape,40.4236378,-3.7018958,Entire loft,Entire home/apt,5,2.0,3.0,87.0,3,365,4.64
city scrape,40.41245,-3.69688,Entire loft,Entire home/apt,4,1.0,2.0,94.0,1,365,4.76
city scrape,40.41015,-3.69797,Entire rental unit,Entire home/apt,3,1.0,2.0,88.0,5,1125,4.76
city scrape,40.40501,-3.69626,Entire rental unit,Entire home/apt,2,1.0,1.0,200.0,3,28,4.73
city scrape,40.41045,-3.70105,Entire rental unit,Entire home/apt,3,2.0,2.0,62.0,3,1125,4.75
city scrape,40.50069,-3.68994,Entire loft,Entire home/apt,2,1.0,1.0,50.0,7,1125,4.88
city scrape,40.42536,-3.69887,Entire rental unit,Entire home/apt,6,2.0,3.0,100.0,3,30,4.77
city scrape,40.4107,-3.70253,Entire rental unit,Entire home/apt,4,1.0,2.0,130.0,1,1125,4.41
previous scrape,40.40546,-3.69213,Entire rental unit,Entire home/apt,5,2.0,3.0,100.0,1,20,4.68
city scrape,40.39368,-3.66975,Entire rental unit,Entire home/apt,4,2.0,2.0,43.0,90,360,4.26
city scrape,40.47148,-3.68946,Entire rental unit,Entire home/apt,6,3.0,4.0,95.0,30,600,4.37
city scrape,40.42722,-3.68388,Entire rental unit,Entire home/apt,4,2.0,4.0,249.0,5,1125,4.75
city scrape,40.42881,-3.66605,Entire rental unit,Entire home/apt,6,3.0,3.0,125.0,90,660,4.41
previous scrape,40.4249,-3.7097,Entire rental unit,Entire home/apt,3,2.0,3.0,70.0,20,300,4.73
city scrape,40.41212,-3.69983,Entire loft,Entire home/apt,4,1.0,2.0,93.0,4,30,4.75
city scrape,40.40988,-3.67503,Entire rental unit,Entire home/apt,5,2.0,4.0,108.0,2,365,4.56
city scrape,40.40224,-3.70001,Entire rental unit,Entire home/apt,4,2.0,3.0,70.0,5,365,4.84
city scrape,40.41534,-3.70757,Entire serviced apartment,Entire home/apt,7,2.0,5.0,151.0,3,1125,4.79
previous scrape,40.40777,-3.74013,Private room in home,Private room,2,1.0,1.0,25.0,2,6,4.76
city scrape,40.41826,-3.71244,Entire rental unit,Entire home/apt,6,2.0,5.0,126.0,3,1125,4.82
city scrape,40.41676,-3.70682,Private room in rental unit,Private room,2,1.0,1.0,47.0,2,90,4.54
city scrape,40.42744,-3.70658,Entire rental unit,Entire home/apt,4,1.0,1.0,81.0,7,60,4.83
city scrape,40.41944,-3.70945,Entire rental unit,Entire home/apt,2,1.0,2.0,86.0,2,1125,4.88
previous scrape,40.40334,-3.70254,Private room in bed and breakfast,Private room,2,1.0,1.0,29.0,6,365,4.66
city scrape,40.43653,-3.70421,Private room in home,Private room,1,1.0,1.0,38.0,2,55,4.91
city scrape,40.40875,-3.70439,Entire rental unit,Entire home/apt,3,1.0,2.0,77.0,7,365,4.26
city scrape,40.41731,-3.6731,Private room in home,Private room,1,1.0,1.0,50.0,30,1825,5.0
city scrape,40.41115,-3.69673,Entire loft,Entire home/apt,2,1.0,1.0,45.0,10,1125,4.45
previous scrape,40.42505,-3.71101,Shared room in rental unit,Shared room,2,1.0,2.0,44.0,3,15,4.87
previous scrape,40.43358,-3.70524,Private room in rental unit,Private room,2,1.0,1.0,35.0,1,4,5.0
city scrape,40.41959,-3.70373,Entire rental unit,Entire home/apt,3,1.0,2.0,108.0,2,18,4.86
city scrape,40.42661,-3.70222,Entire rental unit,Entire home/apt,4,2.0,3.0,180.0,1,365,4.66
city scrape,40.41506,-3.7029,Entire rental unit,Entire home/apt,2,1.0,1.0,95.0,3,365,4.33
city scrape,40.40449,-3.70463,Private room in rental unit,Private room,2,1.0,2.0,35.0,3,3,4.79
previous scrape,40.41146,-3.69563,Entire loft,Entire home/apt,3,1.0,2.0,80.0,2,1125,4.59
city scrape,40.42329,-3.70833,Entire rental unit,Entire home/apt,4,1.0,1.0,106.0,2,180,4.9
city scrape,40.40333,-3.7025,Private room in bed and breakfast,Private room,1,1.0,1.0,29.0,5,365,4.63
city scrape,40.4149,-3.70331,Entire rental unit,Entire home/apt,4,1.0,1.0,107.0,3,365,4.54
city scrape,40.42552,-3.70589,Entire rental unit,Entire home/apt,3,1.0,1.0,104.0,3,365,4.37
city scrape,40.40215,-3.66263,Private room in rental unit,Private room,2,1.0,1.0,33.0,4,90,4.88
city scrape,40.42978,-3.67817,Private room in rental unit,Private room,1,1.0,2.0,28.0,3,180,4.95
city scrape,40.40827,-3.70049,Entire rental unit,Entire home/apt,3,1.0,1.0,90.0,2,30,4.64
city scrape,40.42057,-3.70486,Entire rental unit,Entire home/apt,2,1.0,1.0,75.0,5,90,4.26
city scrape,40.42482,-3.71084,Entire rental unit,Entire home/apt,8,4.0,6.0,218.0,5,366,4.99
city scrape,40.42738,-3.70635,Entire rental unit,Entire home/apt,2,1.0,1.0,81.0,1,1125,4.23
city scrape,40.41156,-3.70546,Entire rental unit,Entire home/apt,3,1.0,2.0,88.0,10,1125,4.39
city scrape,40.42411,-3.702033,Entire rental unit,Entire home/apt,4,2.0,2.0,111.0,1,1124,4.19
city scrape,40.43028,-3.70732,Entire condo,Entire home/apt,5,2.0,4.0,116.0,3,365,4.81
city scrape,40.41429,-3.70649,Entire rental unit,Entire home/apt,4,1.0,2.0,69.0,3,260,4.87
city scrape,40.40687,-3.70917,Entire rental unit,Entire home/apt,4,2.0,3.0,220.0,2,7,4.51
previous scrape,40.41233,-3.70641,Entire rental unit,Entire home/apt,2,1.0,1.0,51.0,2,1125,4.72
city scrape,40.41382,-3.69514,Entire rental unit,Entire home/apt,8,3.0,5.0,169.0,3,180,4.82
city scrape,40.41497,-3.70853,Entire rental unit,Entire home/apt,4,1.0,2.0,69.0,3,365,4.9
city scrape,40.4267,-3.61631,Private room in rental unit,Private room,2,1.0,1.0,30.0,5,1125,4.73
city scrape,40.45611,-3.65952,Private room in rental unit,Private room,1,1.0,1.0,19.0,3,1111,4.43
city scrape,40.42849,-3.70183,Entire rental unit,Entire home/apt,2,1.0,1.0,54.0,4,1125,4.85
previous scrape,40.41095,-3.71199,Entire rental unit,Entire home/apt,3,1.0,2.0,80.0,100,365,4.7
city scrape,40.434551,-3.698387,Private room in casa particular,Private room,1,1.0,1.0,42.0,3,1125,4.63
city scrape,40.39032,-3.71382,Private room in guest suite,Private room,1,1.0,1.0,30.0,2,1125,5.0
city scrape,40.42548,-3.7042,Entire rental unit,Entire home/apt,4,1.0,1.0,100.0,3,365,4.52
previous scrape,40.45989,-3.69472,Entire rental unit,Entire home/apt,8,3.0,5.0,167.0,2,364,4.77
previous scrape,40.41523,-3.70831,Entire rental unit,Entire home/apt,4,1.0,1.0,66.0,2,40,4.51
city scrape,40.44655,-3.58128,Entire serviced apartment,Entire home/apt,2,1.0,1.0,95.0,1,365,4.48
city scrape,40.41592,-3.70177,Entire rental unit,Entire home/apt,2,1.0,1.0,102.0,3,365,4.51
city scrape,40.41399,-3.70776,Entire rental unit,Entire home/apt,4,1.0,2.0,79.0,3,1125,4.91
city scrape,40.40789,-3.71404,Entire rental unit,Entire home/apt,4,1.0,2.0,74.0,3,60,4.77
city scrape,40.4287,-3.6862,Private room in rental unit,Private room,1,1.0,1.0,58.0,3,60,4.77
city scrape,40.46544,-3.69534,Entire home,Entire home/apt,4,2.0,2.0,122.0,1,27,4.49
city scrape,40.40869,-3.71073,Entire rental unit,Entire home/apt,6,2.0,4.0,144.0,3,1124,4.93
city scrape,40.42123,-3.70133,Entire rental unit,Entire home/apt,2,1.0,1.0,45.0,30,1125,4.59
city scrape,40.41045,-3.7057,Entire rental unit,Entire home/apt,5,2.0,4.0,100.0,2,1125,4.88
city scrape,40.41941,-3.70823,Entire rental unit,Entire home/apt,2,1.0,1.0,104.0,3,365,4.55
city scrape,40.41328,-3.69498,Entire rental unit,Entire home/apt,2,1.0,1.0,104.0,2,90,4.59
city scrape,40.44338,-3.69662,Private room in rental unit,Private room,1,1.0,1.0,34.0,1,60,5.0
city scrape,40.43747,-3.69949,Entire rental unit,Entire home/apt,2,1.0,2.0,116.0,3,1125,4.74
city scrape,40.43542,-3.70755,Private room in rental unit,Private room,2,1.0,1.0,43.0,2,1125,4.86
city scrape,40.4287,-3.6862,Private room in rental unit,Private room,1,1.0,1.0,64.0,3,40,4.81
city scrape,40.4259,-3.7025,Entire rental unit,Entire home/apt,2,1.0,1.0,90.0,14,1124,4.84
city scrape,40.41018,-3.70164,Entire rental unit,Entire home/apt,3,1.0,2.0,76.0,4,1125,4.74
city scrape,40.42359,-3.70537,Entire rental unit,Entire home/apt,4,1.0,1.0,118.0,3,365,4.16
city scrape,40.41628,-3.70364,Entire rental unit,Entire home/apt,2,1.0,1.0,105.0,3,365,4.54
city scrape,40.43202,-3.60353,Private room in rental unit,Private room,2,1.0,1.0,123.0,3,1125,4.4
city scrape,40.43271,-3.70156,Entire rental unit,Entire home/apt,4,1.0,1.0,107.0,3,1125,4.44
city scrape,40.42001,-3.70824,Entire rental unit,Entire home/apt,8,3.0,5.0,115.0,3,120,4.6
city scrape,40.42885,-3.70479,Entire rental unit,Entire home/apt,2,1.0,1.0,99.0,30,1125,4.65
city scrape,40.40912,-3.70074,Entire rental unit,Entire home/apt,2,1.0,2.0,73.0,4,330,4.91
city scrape,40.41301,-3.70848,Entire rental unit,Entire home/apt,4,1.0,2.0,136.0,3,180,4.88
city scrape,40.40808,-3.68338,Entire loft,Entire home/apt,3,1.0,2.0,60.0,1,365,4.72
city scrape,40.41483,-3.70927,Entire rental unit,Entire home/apt,4,1.0,1.0,79.0,3,365,4.71
city scrape,40.41234,-3.70186,Entire rental unit,Entire home/apt,5,2.0,4.0,128.0,4,1125,4.91
city scrape,40.41155,-3.69492,Private room in rental unit,Private room,1,2.0,1.0,60.0,3,1125,4.83
city scrape,40.41354,-3.7079,Entire rental unit,Entire home/apt,2,1.0,1.0,88.0,5,1125,4.96
city scrape,40.41368,-3.70544,Entire rental unit,Entire home/apt,3,1.0,2.0,102.0,5,180,4.85
