source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
previous scrape,40.42396,-3.70408,Entire rental unit,Entire home/apt,4,2.0,2.0,60.0,2,1125,4.39
city scrape,40.42139,-3.71031,Entire loft,Entire home/apt,6,3.0,3.0,230.0,1,1125,4.49
previous scrape,40.42774,-3.65855,Private room in rental unit,Private room,2,1.0,1.0,20.0,2,1125,5.0
city scrape,40.44355,-3.7028,Private room in condo,Private room,1,1.0,1.0,48.0,6,1125,3.67
city scrape,40.42263,-3.70054,Entire rental unit,Entire home/apt,3,1.0,1.0,125.0,1,1125,4.8
city scrape,40.4115285,-3.7034801,Entire rental unit,Entire home/apt,5,2.0,3.0,166.0,1,365,4.29
previous scrape,40.40831,-3.73471,Entire rental unit,Entire home/apt,3,2.0,2.0,45.0,3,1125,5.0
previous scrape,40.42215,-3.69855,Private room in rental unit,Private room,2,1.0,2.0,71.0,2,1125,5.0
city scrape,40.4181,-3.7097,Entire rental unit,Entire home/apt,2,1.0,2.0,90.0,2,30,4.75
city scrape,40.41066,-3.699,Entire rental unit,Entire home/apt,3,1.0,2.0,106.0,1,180,4.65
city scrape,40.41252,-3.71059,Entire rental unit,Entire home/apt,5,4.0,4.0,140.0,135,364,4.41
previous scrape,40.43143,-3.65086,Private room in rental unit,Private room,1,1.0,1.0,19.0,1,1125,4.88
previous scrape,40.41041,-3.73613,Private room in rental unit,Private room,2,1.0,1.0,25.0,1,2,5.0
city scrape,40.43554,-3.71705,Private room in rental unit,Private room,1,1.0,1.0,55.0,2,70,5.0
city scrape,40.42757,-3.71574,Entire rental unit,Entire home/apt,1,1.0,1.0,50.0,120,300,5.0
previous scrape,40.39453,-3.69499,Entire rental unit,Entire home/apt,2,1.0,1.0,70.0,7,30,5.0
city scrape,40.43348,-3.71675,Private room in rental unit,Private room,1,1.0,1.0,55.0,1,1125,5.0
city scrape,40.41297,-3.70059,Entire rental unit,Entire home/apt,3,1.0,2.0,88.0,2,1125,4.97
city scrape,40.4308,-3.71046,Entire rental unit,Entire home/apt,7,4.0,6.0,207.0,2,364,4.85
previous scrape,40.42088,-3.69652,Entire rental unit,Entire home/apt,4,1.0,1.0,55.0,2,1125,4.7
city scrape,40.41607,-3.70578,Entire rental unit,Entire home/apt,4,2.0,2.0,151.0,1,365,4.63
city scrape,40.42592,-3.7081,Entire rental unit,Entire home/apt,4,1.0,2.0,70.0,2,1125,4.77
city scrape,40.41704,-3.70192,Entire rental unit,Entire home/apt,4,2.0,2.0,121.0,1,4,4.71
previous scrape,40.38888,-3.66882,Private room in rental unit,Private room,1,1.0,1.0,23.0,2,7,0.0
