index,source,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,Entire home/apt,Hotel room,Private room,Shared room
938,previous scrape,40.41545,-3.71127,2,1.0,1.0,0.15753424657534246,1,1125,4.29,0.0,0.0,1.0,0.0
939,city scrape,40.44214,-3.64793,3,1.0,1.0,0.0273972602739726,1,200,4.82,1.0,0.0,0.0,0.0
940,city scrape,40.43214,-3.69796,2,1.0,1.0,0.297945205479452,7,365,4.79,1.0,0.0,0.0,0.0
941,city scrape,40.42477,-3.66933,1,1.0,1.0,0.1404109589041096,3,1125,4.71,0.0,0.0,1.0,0.0
942,city scrape,40.41306,-3.71003,4,1.0,1.0,0.2568493150684931,4,1125,4.75,1.0,0.0,0.0,0.0
943,city scrape,40.40231,-3.66461,1,1.0,1.0,0.06164383561643835,5,1125,4.83,0.0,0.0,1.0,0.0
944,previous scrape,40.40662,-3.71028,1,1.0,1.0,0.030821917808219176,2,31,0.0,0.0,0.0,1.0,0.0
945,previous scrape,40.42569,-3.701,2,1.0,1.0,0.0684931506849315,1,1125,5.0,0.0,0.0,1.0,0.0
946,city scrape,40.4372,-3.6964,6,3.0,5.0,0.571917808219178,30,1125,5.0,1.0,0.0,0.0,0.0
947,city scrape,40.45841,-3.67598,1,1.0,1.0,0.0684931506849315,3,1125,4.84,0.0,0.0,1.0,0.0
948,city scrape,40.42362,-3.70697,2,1.0,3.0,0.16095890410958902,3,180,4.36,1.0,0.0,0.0,0.0
949,previous scrape,40.43197,-3.71207,1,1.0,1.0,0.05821917808219178,14,1125,5.0,0.0,0.0,1.0,0.0
950,city scrape,40.40403,-3.71327,2,1.0,1.0,0.0958904109589041,3,9,4.67,0.0,0.0,1.0,0.0
951,previous scrape,40.39495,-3.69783,1,1.0,1.0,0.0958904109589041,2,1125,4.96,0.0,0.0,1.0,0.0
952,city scrape,40.43668,-3.6943,2,1.0,1.0,0.07534246575342465,1,1125,4.23,0.0,0.0,1.0,0.0
953,previous scrape,40.39627,-3.69965,1,1.0,1.0,0.05821917808219178,3,1125,5.0,0.0,0.0,1.0,0.0
954,city scrape,40.42692,-3.71269,4,1.0,4.0,0.2602739726027397,3,7,4.88,0.0,0.0,0.0,1.0
955,city scrape,40.40717,-3.74373,1,1.0,1.0,0.05821917808219178,1,1125,4.9,0.0,0.0,1.0,0.0
956,city scrape,40.42163,-3.69654,2,1.0,1.0,0.14383561643835616,2,9,4.84,0.0,0.0,1.0,0.0
957,city scrape,40.41093,-3.71663,4,1.0,2.0,0.3356164383561644,2,1125,4.64,1.0,0.0,0.0,0.0
958,city scrape,40.41229,-3.69007,2,1.0,1.0,0.3664383561643835,1,1125,4.6,0.0,0.0,1.0,0.0
959,previous scrape,40.40721,-3.69754,2,1.0,1.0,0.04452054794520548,3,10,4.17,0.0,0.0,1.0,0.0
960,city scrape,40.40698,-3.69801,5,2.0,3.0,0.3150684931506849,28,1124,4.84,1.0,0.0,0.0,0.0
961,city scrape,40.41737,-3.71394,4,2.0,3.0,0.863013698630137,3,1125,4.83,1.0,0.0,0.0,0.0
962,city scrape,40.41313,-3.70956,4,2.0,2.0,0.6678082191780822,1,365,4.81,1.0,0.0,0.0,0.0
963,previous scrape,40.42071,-3.71511,6,3.0,3.0,0.2808219178082192,2,1125,3.5,1.0,0.0,0.0,0.0
964,city scrape,40.4516,-3.70179,2,1.0,1.0,0.03424657534246575,1,1125,4.92,0.0,0.0,1.0,0.0
965,city scrape,40.41063,-3.71173,3,1.0,2.0,0.5342465753424658,7,1125,5.0,1.0,0.0,0.0,0.0
966,city scrape,40.41319,-3.71156,4,2.0,2.0,0.5856164383561644,2,1125,4.5,1.0,0.0,0.0,0.0
967,previous scrape,40.4086,-3.71039,6,3.0,4.0,0.2602739726027397,2,20,5.0,1.0,0.0,0.0,0.0
968,previous scrape,40.40817,-3.70884,1,1.0,1.0,0.113013698630137,2,1125,3.0,0.0,0.0,1.0,0.0
969,previous scrape,40.44886,-3.7839,4,2.0,4.0,0.2808219178082192,5,1125,4.69,1.0,0.0,0.0,0.0
970,previous scrape,40.43645,-3.71088,2,1.0,1.0,0.1952054794520548,3,1125,4.9,1.0,0.0,0.0,0.0
971,previous scrape,40.43676,-3.68286,4,1.0,2.0,0.14383561643835616,1,1125,4.5,1.0,0.0,0.0,0.0
972,city scrape,40.41587,-3.70702,4,2.0,2.0,0.3390410958904109,2,60,4.92,1.0,0.0,0.0,0.0
973,city scrape,40.41539,-3.70999,6,2.0,4.0,0.4965753424657534,3,90,4.9,1.0,0.0,0.0,0.0
974,city scrape,40.41256,-3.72448,11,2.0,6.0,0.2191780821917808,1,300,4.66,1.0,0.0,0.0,0.0
975,city scrape,40.41213,-3.69336,2,1.0,2.0,0.3150684931506849,15,1125,4.73,1.0,0.0,0.0,0.0
976,city scrape,40.41972,-3.70294,2,1.0,2.0,0.18835616438356162,1,1125,4.67,1.0,0.0,0.0,0.0
977,city scrape,40.40083,-3.74884,6,9.0,7.0,0.3390410958904109,2,180,4.0,1.0,0.0,0.0,0.0
978,city scrape,40.44091,-3.6816,2,1.0,1.0,0.113013698630137,2,150,4.88,0.0,0.0,1.0,0.0
979,city scrape,40.40902,-3.69839,4,2.0,3.0,0.39383561643835613,2,80,4.69,1.0,0.0,0.0,0.0
980,city scrape,40.40259,-3.70243,2,1.0,1.0,0.3253424657534246,2,1125,4.82,1.0,0.0,0.0,0.0
981,city scrape,40.43243,-3.69735,1,1.0,1.0,0.0547945205479452,10,1125,4.55,0.0,0.0,1.0,0.0
982,previous scrape,40.41041,-3.70445,3,1.0,2.0,0.1095890410958904,1,1125,0.0,1.0,0.0,0.0,0.0
983,city scrape,40.42235,-3.69952,2,1.0,1.0,0.14726027397260272,3,1125,4.59,0.0,0.0,1.0,0.0
984,previous scrape,40.40939,-3.73828,2,1.0,1.0,0.0136986301369863,1,1125,4.0,0.0,0.0,1.0,0.0
985,city scrape,40.41478,-3.7111,3,1.0,2.0,0.3150684931506849,28,1125,4.71,1.0,0.0,0.0,0.0
986,city scrape,40.41421,-3.70192,1,1.0,1.0,0.17123287671232876,1,10,4.85,0.0,1.0,0.0,0.0
987,city scrape,40.42235,-3.69952,2,1.0,2.0,0.1643835616438356,3,60,4.72,0.0,0.0,1.0,0.0
988,previous scrape,40.43416,-3.65163,4,2.0,2.0,0.13013698630136986,3,1123,5.0,1.0,0.0,0.0,0.0
989,city scrape,40.41593,-3.70654,4,1.0,1.0,0.5171232876712328,2,29,4.74,1.0,0.0,0.0,0.0
990,previous scrape,40.42026,-3.67636,2,1.0,1.0,0.07191780821917808,1,1125,4.92,0.0,0.0,1.0,0.0
991,city scrape,40.416,-3.70809,4,1.0,2.0,0.3253424657534246,6,300,4.57,1.0,0.0,0.0,0.0
992,city scrape,40.41175,-3.70436,1,1.0,1.0,0.17465753424657532,1,1125,4.91,0.0,0.0,1.0,0.0
993,city scrape,40.47256,-3.68837,2,1.0,1.0,0.2328767123287671,1,1125,5.0,0.0,0.0,1.0,0.0
994,city scrape,40.42823,-3.70459,4,1.0,3.0,0.3835616438356164,2,1125,4.95,1.0,0.0,0.0,0.0
995,city scrape,40.41566,-3.70689,1,1.0,1.0,0.10616438356164382,30,1125,4.8,0.0,0.0,1.0,0.0
996,previous scrape,40.4104,-3.69656,2,1.0,2.0,0.0958904109589041,2,1125,4.75,0.0,0.0,1.0,0.0
997,city scrape,40.41542434692383,-3.711281061172485,1,1.0,1.0,0.0684931506849315,300,364,4.5,0.0,0.0,1.0,0.0
998,city scrape,40.41542434692383,-3.711281061172485,1,1.0,1.0,0.0684931506849315,300,364,4.0,0.0,0.0,1.0,0.0
